"Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Choice_6","Choice_7","Choice_8","Choice_9","Choice_10","Choice_11","Choice_12","Choice_13","Choice_14","Choice_15","Choice_16","Choice_17","Choice_18","Choice_19","Choice_20","Choice_21","Choice_22","Choice_23","Choice_24","Choice_25","Choice_26","Choice_27","Choice_28","Choice_29","Choice_30","Choice_31","Choice_32","Choice_33","Choice_34","Choice_35","Choice_36","Choice_37","Choice_38","Choice_39","Choice_40","Choice_41","Choice_42","Choice_43","Choice_44","Choice_45","Choice_46","Choice_47","Choice_48","Choice_49","Choice_50","Choice_51","Choice_52","Choice_53","Choice_54","Choice_55","Choice_56","Choice_57","Choice_58","Choice_59","Choice_60","Choice_61","Choice_62","Choice_63","Choice_64","Choice_65","Choice_66","Choice_67","Choice_68","Choice_69","Choice_70","Choice_71","Choice_72","Choice_73","Choice_74","Choice_75","Choice_76","Choice_77","Choice_78","Choice_79","Choice_80","Choice_81","Choice_82","Choice_83","Choice_84","Choice_85","Choice_86","Choice_87","Choice_88","Choice_89","Choice_90","Choice_91","Choice_92","Choice_93","Choice_94","Choice_95","Choice_96","Choice_97","Choice_98","Choice_99","Choice_100"
"Subj_11",3,3,3,2,1,4,2,1,2,1,2,2,2,2,2,2,1,3,3,3,3,3,2,2,2,1,1,1,4,3,2,1,4,2,1,3,3,3,2,1,4,4,3,2,1,2,3,3,4,2,1,3,3,2,4,1,2,3,4,1,2,4,3,4,1,2,2,1,4,3,2,2,1,3,4,2,3,3,3,2,1,4,3,2,1,4,2,3,1,2,4,1,2,2,3,4,1,2,4,2
"Subj_12",3,3,4,4,3,4,4,1,4,2,3,3,3,3,1,1,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,3,1,4,4,3,3,4,4,2,2,3,1,4,2,1,2,3,4,4,3,1,2,2,3,3,4,1,1,3,2,2,4,4,3,3,1,1,2,2,3,3,4,4,1,3,3,1,1,4,4,3,3,3,4,4,2,2,2,3,3,4,1,4,3,2,1,2,3,1
"Subj_13",1,2,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,2,3,3,2,3,2,3,4,4,4,4,4,4,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,3,3,3,3,3,3,2,2,4,4,4,1,4,4,4,2,2,4,4,4,4,4,4,4,4,4,3,3,4
"Subj_14",4,3,1,2,2,2,3,4,4,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,2,1,3,3,2,2,2,1,1,3,4,3,3,3,2,2,2,2,3,3,1,1,1,3,3,4,4,4,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3
"Subj_15",3,4,1,2,2,2,2,2,2,4,2,2,2,2,1,4,4,3,4,3,4,3,4,3,2,2,4,2,4,2,4,2,3,4,1,1,3,4,1,2,3,4,1,2,3,1,4,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,3,4,1,2,3,4,1,2,3,4,1,2,2
"Subj_16",4,4,2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Subj_17",2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,4,2,2,4,2,4,2,2,3,2,2,2,3,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2
"Subj_18",2,1,4,3,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,1,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,2
"Subj_19",1,3,2,4,2,2,2,2,3,4,2,2,1,1,3,4,2,1,3,1,2,4,1,3,2,2,2,4,2,4,1,2,3,2,4,1,2,4,4,3,1,2,2,1,4,2,4,1,2,1,4,2,1,2,3,4,1,2,3,1,4,2,3,2,1,4,2,3,3,2,4,1,2,2,3,4,2,1,2,4,3,1,2,2,2,4,2,1,3,2,4,2,3,1,2,2,4,2,4,2
"Subj_20",1,3,3,4,2,2,2,4,2,2,3,4,2,2,4,3,4,2,2,4,3,2,2,1,2,2,3,2,4,1,4,2,2,3,4,2,4,2,4,2,4,3,4,2,4,3,3,2,4,2,2,4,3,4,2,2,4,3,4,2,2,2,2,4,3,4,2,2,4,3,4,2,2,4,3,4,2,2,4,3,4,2,2,4,3,4,2,2,4,3,2,2,4,3,2,2,4,2,2,4
"Subj_21",4,4,4,4,1,2,4,3,1,1,4,4,4,2,1,1,4,3,1,1,1,1,1,1,4,2,3,3,1,1,1,4,1,4,2,3,4,2,1,2,4,2,3,3,1,4,1,2,4,3,3,4,1,2,4,1,3,3,3,3,3,2,3,2,4,2,1,1,4,2,2,2,2,2,4,2,3,1,1,2,4,2,4,2,4,2,4,2,2,2,1,4,4,4,2,3,2,1,2,4
"Subj_22",4,4,1,4,4,4,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,4,4,2,4,2,3,2,4,2,1,2,3,4,1,2,4,2,1,2,2,4,3,2,1,1,1,1,2,2,2,2,1,2,3,4,4,4,2,1,2,2,2,3,2,4,2,2,3,2,1,2,2,2,4,4,4,2,4,4,2,2,1,2,3,2,3,3,2,3,2,3,3,2,3,4,4,2,3,3
"Subj_23",3,2,1,4,2,2,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,4,2,4,3,1,2,4,4,2,4,2,4,2,3,4,2,3,2,4,1,4,4,2,2,2,2,4,4,4,2,4,2,2,4,4,2,2,4,4,4,2,2,4,4,4,2,2,3,3,3,3,1,1,1,2,2,2,4,4,2,2,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1
"Subj_24",2,2,2,1,3,2,4,1,2,2,1,2,1,3,4,4,4,2,1,4,2,2,3,4,4,1,2,2,4,3,4,2,4,2,2,3,1,2,3,4,4,4,2,2,1,1,2,4,4,2,2,3,3,3,1,2,4,2,1,3,4,2,1,3,3,4,4,2,1,3,4,2,1,2,3,4,2,2,3,4,4,2,1,3,4,2,1,3,3,4,4,2,2,1,3,2,4,1,3,3
"Subj_25",2,2,2,2,2,2,2,2,2,4,2,1,2,4,2,4,2,3,2,4,2,3,2,1,1,4,1,3,2,1,4,4,3,3,3,3,1,2,1,3,2,1,4,1,3,1,1,4,3,3,3,1,3,4,4,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
"Subj_26",3,1,4,2,2,1,1,1,3,4,4,4,4,4,4,4,4,3,1,4,3,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,3,3,4,4,3,3,3,4,4,4,3,4,4,3,3,3,3,4,4,4,3,4,4,4,3,4,4,4,3,3,4,2,1,4,4,3,1,2,4,4,3,4,1,2,4,4,3,1,2,4,4,3,1,4,4,3,1,2,4,4,4,3,3
"Subj_27",4,4,4,4,4,3,1,2,1,2,3,1,2,4,3,2,4,1,3,2,2,1,3,2,4,3,3,1,2,1,4,3,2,2,2,2,4,1,1,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,3,1,2,4,3,1,2,4,3,1,2,4,1,2,4,1,2,4,3,1,2,4,3,1,2,4,3,1,2,2,2,3,4,1,1,1,2,2
"Subj_28",2,2,4,3,1,2,2,2,4,3,1,2,3,4,2,2,2,2,1,3,4,4,4,4,4,4,4,3,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,3,1,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,2,4,4,4,4,4,2
"Subj_29",1,1,1,4,1,2,4,4,1,3,3,1,4,1,2,2,2,1,4,4,4,3,1,2,2,4,2,1,4,1,4,2,2,4,2,3,1,1,1,4,1,2,2,2,4,4,1,2,4,2,1,2,1,2,4,1,4,2,3,2,4,1,4,2,3,2,4,1,4,1,2,1,4,2,3,2,4,1,4,2,3,2,4,2,4,1,4,2,3,4,1,2,4,1,2,4,3,2,4,1
"Subj_30",4,4,4,3,2,1,1,2,1,2,1,2,3,2,2,4,2,1,2,1,4,3,2,1,4,3,2,1,4,2,1,4,2,4,2,4,2,4,2,4,2,4,3,4,2,4,2,4,3,2,4,3,2,1,2,4,3,2,2,4,2,3,4,2,4,3,4,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,4,3,3,3,2,3,2,2,2,3,2,2,2,3,4,3
"Subj_31",3,4,2,1,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,1,1,1,1,1,1,3,3,3,3,3,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Subj_32",2,3,4,1,1,1,2,2,2,3,3,3,3,4,4,3,2,2,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,2,3,4,4,1,1,4,2,2,2,2,3,4,1,1,1,1,1,1,1,2,2,2,3,4,4,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Subj_33",2,4,3,1,1,2,2,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,4,2,2
"Subj_34",3,4,2,2,2,1,2,2,2,2,2,3,4,4,2,2,2,2,2,1,2,2,2,2,2,4,2,2,2,4,4,4,2,2,2,4,2,4,2,2,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,4,4,3,1,1,1,4,4,4,4,3,1,3,1,4,2,4,2,1,2,4,1,2,4,2,4,2,2,2,2,4,4,4,3,4,1,1,2,4,2,4,2,4
"Subj_35",1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,3,1,1,2,4,3,2,1,4,3,2,1,3,4,1,2,1,3,4,2,1,2,3,4,1,2,4,3,2,1,2,4,3,2,1,3,4,2,3,4,1,2,4,3,2,4,2,1,2,2,4,3,1,2,4,3,1,4,3,3,2,1,3,4,1,3,2,4,3,1,3,4,3,1,3,1,3,1,4
"Subj_36",2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,2,2,3,3,4,4,1,1,2,2,3,3,3,3,3,4,2,1,1,1,1,1,1,2,2,4,2,2,4,1,1,1,1,2,2,2,4,4,2,2,1,1,2,2,2,2,2,3,3,4,4,4,4,2,2,1,1,2,2,4,4
"Subj_37",1,4,3,2,1,4,3,1,2,4,3,2,2,2,2,2,2,2,2,4,2,3,2,1,4,1,2,1,4,3,2,1,2,4,3,1,2,4,3,1,2,4,3,2,1,4,3,2,1,4,2,2,4,4,4,4,4,3,4,4,4,4,3,2,1,4,4,4,1,2,4,2,3,1,2,2,1,4,4,3,2,4,2,1,2,1,2,4,3,1,2,4,3,2,1,2,1,2,4,2
"Subj_38",1,4,2,3,4,3,4,3,1,4,4,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,3,1,2,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,4,4,4,4,4,4,4
"Subj_39",4,2,3,3,3,3,3,1,4,4,4,2,2,2,2,2,2,2,2,4,4,4,3,3,1,1,1,1,1,1,4,4,4,4,4,2,2,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,1,2,2,2,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,2
"Subj_40",3,1,3,4,4,4,2,2,2,4,2,2,2,2,4,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,3,2,1,4,3,3,2,2,4,4,2,3,2,4,3,3,2,4,3,2,3,4,4,2,4,2,2,3,2,4,4,4,3,4,3,3,3,2,2,3,2,4,3,3,3,3,3,3,3,3,3,2,3,4,3,3,2,3,4,3,3,3
"Subj_41",1,3,1,1,2,4,2,3,2,2,2,2,2,2,1,3,2,4,2,1,4,4,4,4,4,3,3,3,1,2,2,2,2,2,1,1,1,1,3,3,3,3,3,3,4,4,4,4,2,2,1,2,3,3,4,4,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,2,1,3,3,4,2,1,3,2
"Subj_42",1,2,3,1,4,2,2,3,4,2,1,3,2,2,4,1,4,4,2,3,2,1,4,3,2,2,2,2,1,1,1,4,3,3,3,3,1,1,1,1,1,1,1,2,4,3,2,4,2,1,4,3,2,1,2,3,2,2,4,1,2,3,4,3,2,1,4,3,3,4,1,2,2,4,1,1,3,2,2,3,3,2,1,2,4,2,1,2,4,2,2,3,2,4,2,1,2,1,2,1
"Subj_43",1,3,2,4,4,3,1,1,2,3,3,4,2,2,1,2,2,1,2,2,3,4,2,2,2,3,4,4,2,1,2,2,3,1,4,4,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,4,1,3,3,3,3,3,3,1,1,1,1,4,3,3,3,3,3,3,3,1,1,1,4,4,4,4,4,4,4,2,2,2,2,2,2
"Subj_44",2,1,3,4,1,1,1,2,2,2,2,2,2,2,2,2,3,1,4,4,4,2,2,2,2,2,1,4,4,4,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,4,4,4,4,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Subj_45",3,2,1,3,4,2,1,4,3,1,2,4,3,2,1,4,3,2,1,4,3,2,1,4,2,1,3,2,1,4,3,1,3,2,3,1,4,2,1,3,2,4,2,1,1,2,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,2,3,4,2,2,3,4,2,2,2,2,2,3,3,3,2,2,2,2,1,4,1,2,4,1,2,3,3,2
"Subj_46",4,1,4,4,2,3,2,2,2,3,1,4,3,2,2,2,2,3,3,3,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,2,2,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Subj_47",4,2,1,3,1,2,4,4,3,1,2,4,4,4,4,1,2,3,4,4,4,1,2,4,4,4,2,1,3,4,4,4,2,1,1,4,4,4,2,2,2,4,4,2,1,2,4,1,4,2,1,2,4,4,2,1,4,4,4,2,1,2,2,1,4,4,4,3,3,3,4,1,2,2,4,3,4,2,3,4,1,2,1,4,3,2,4,1,2,1,4,2,1,4,1,3,2,4,1,2
"Subj_48",3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,1,2,2,2,2,2,2,4,4,2,3,3,3,3,3,1,3,3,3,2,2,2,4,2,4,2,3,2,4,4,4,4,4,4,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
"Subj_49",2,1,1,4,4,4,4,3,2,2,4,4,4,2,2,1,3,2,1,1,2,2,2,2,2,1,1,1,4,4,2,2,1,3,2,4,4,4,2,4,2,4,2,4,4,4,2,2,2,3,3,3,3,2,1,2,4,4,4,4,2,4,2,4,2,3,4,2,4,4,3,4,2,2,4,2,2,2,2,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,1,2,4,4,3,3
"Subj_50",4,2,1,3,1,2,2,1,1,1,2,2,2,2,2,4,2,2,2,3,3,1,1,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,4,3,4,4,2,2,2,2,2,2,2,1,2,2,2,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subj_51",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,3,3,2,4,1,3,3,1,4,2,4,1,3,1,1,4,2,2,4,1,3,3,1,4,2,4,1,3,3,3,3,1,1,4,2,2,4,1,3,3,3,1,1,4,4,2,2,2,4,4,4,4,1,1,1,1,1,4,4,4,1,1,1,1,1,1,4,4,1,1,3,4,1,4,1,1,4,1,4,1,3
"Subj_52",2,4,4,2,2,1,3,2,1,1,4,4,4,3,4,1,4,4,4,2,4,4,4,2,4,4,2,2,2,4,2,2,2,2,2,4,4,4,3,1,1,1,2,2,4,2,2,2,2,2,2,1,2,2,2,4,2,2,4,4,2,2,4,4,2,2,4,2,2,4,4,2,2,2,4,2,4,2,1,3,3,4,4,2,2,2,4,4,4,2,2,4,4,2,2,4,4,2,2,4
"Subj_53",1,4,3,4,2,2,2,2,4,1,2,1,2,3,2,1,4,1,2,1,3,1,4,2,2,1,2,4,2,1,2,3,3,3,4,1,2,2,1,2,2,2,1,2,2,1,3,4,2,1,2,4,2,2,1,2,1,4,3,4,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,4,4,3,3,3,2,2,2,2,1,2,1,2,1,4,3,4,3
"Subj_54",1,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,4,4,4,2,4,2,4,4,4,4,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
"Subj_55",1,4,4,4,3,4,4,4,4,4,2,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,1,4,4,2,2,4,3,2,2,2,2,2,4,3,4,2,4,3,4,3,3,2,4,4,4,4,3,3,4,3,4,4,2,2,2,2,2,4,2,2,2,4,4,3,4,2,2,4,3,4,4,3,4,2,4,3,4,4,3
"Subj_56",2,2,2,2,2,2,2,2,2,2,4,4,3,4,1,1,2,4,2,4,1,2,2,2,4,3,4,2,2,1,3,4,4,4,2,4,1,2,4,3,4,2,1,4,4,3,4,4,1,2,4,4,3,3,3,1,2,4,4,1,4,4,3,1,4,4,3,3,2,1,4,4,2,4,3,3,1,4,4,2,1,4,3,4,3,1,3,4,3,2,1,3,4,2,1,2,3,4,4,1
"Subj_57",2,2,2,3,4,1,2,2,2,2,3,4,1,1,1,1,1,2,2,2,3,3,3,2,2,1,4,4,2,3,2,3,2,4,2,4,2,4,2,4,2,2,2,4,3,1,4,4,4,4,2,2,3,4,1,2,2,4,3,2,1,2,2,1,4,3,2,4,4,4,3,2,2,1,4,3,3,4,2,1,2,2,4,3,3,4,3,3,2,4,1,1,1,1,4,2,4,2,3,2
"Subj_58",1,2,3,2,2,4,2,1,1,2,2,2,4,2,2,1,2,2,2,4,4,4,2,2,2,4,4,4,3,3,4,4,2,2,2,4,2,2,2,2,1,3,1,1,1,2,2,2,4,4,3,2,1,2,2,3,4,2,4,1,3,2,2,2,4,4,2,2,2,3,4,4,2,2,4,2,1,4,4,4,4,2,2,4,4,2,2,2,2,3,3,2,2,2,4,4,4,2,2,4
"Subj_59",3,2,3,4,2,3,2,3,2,3,2,1,3,2,3,2,2,2,3,2,3,3,4,3,2,4,3,4,2,1,4,3,2,1,1,3,2,4,3,3,3,3,4,2,2,3,2,4,2,1,3,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,4,2,3,2,3,4,2,3,2,3,2,3,4,2,3,2,3,2,3,4,3,2,3,2
"Subj_60",1,1,1,1,1,1,1,3,1,2,2,2,2,4,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,3,2,2,1,4,2,1,2,2,2,2,1,2,3,2,1,2,4,3,2,1,1,1,4,3,4,4,2,1,1,2,3,4,1,3,3,2,2,1,1,2,2,2,2,4,1,3,4,2,4,3,4,1,4,3,4,2,1,4,2
"Subj_61",1,2,1,3,4,4,4,1,2,2,2,2,3,2,2,2,2,4,1,1,1,2,1,3,4,4,4,4,4,2,1,3,3,3,3,2,3,3,3,2,3,2,3,2,3,3,3,3,3,4,3,4,2,1,2,3,3,2,4,3,2,3,3,3,4,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3
